Date,Product,Value
1986-02-14,Distillate Fuel Oil,129003
1986-02-21,Distillate Fuel Oil,123415
1986-02-28,Distillate Fuel Oil,114417
1986-03-07,Distillate Fuel Oil,108817
1986-03-14,Distillate Fuel Oil,100875
1986-03-21,Distillate Fuel Oil,98526
1986-03-28,Distillate Fuel Oil,97845
1986-04-04,Distillate Fuel Oil,98896
1986-04-11,Distillate Fuel Oil,97733
1986-04-18,Distillate Fuel Oil,96523
1986-04-25,Distillate Fuel Oil,97241
1986-05-02,Distillate Fuel Oil,95321
1986-05-09,Distillate Fuel Oil,94524
1986-05-16,Distillate Fuel Oil,93294
1986-05-23,Distillate Fuel Oil,92691
1986-05-30,Distillate Fuel Oil,97589
1986-06-06,Distillate Fuel Oil,98596
1986-06-13,Distillate Fuel Oil,100581
1986-06-20,Distillate Fuel Oil,103791
1986-06-27,Distillate Fuel Oil,104308
1986-07-04,Distillate Fuel Oil,106458
1986-07-11,Distillate Fuel Oil,107558
1986-07-18,Distillate Fuel Oil,111223
1986-07-25,Distillate Fuel Oil,111673
1986-08-01,Distillate Fuel Oil,118894
1986-08-08,Distillate Fuel Oil,120734
1986-08-15,Distillate Fuel Oil,121528
1986-08-22,Distillate Fuel Oil,128999
1986-08-29,Distillate Fuel Oil,132858
1986-09-05,Distillate Fuel Oil,137082
1986-09-12,Distillate Fuel Oil,143584
1986-09-19,Distillate Fuel Oil,145849
1986-09-26,Distillate Fuel Oil,148492
1986-10-03,Distillate Fuel Oil,150834
1986-10-10,Distillate Fuel Oil,153728
1986-10-17,Distillate Fuel Oil,151815
1986-10-24,Distillate Fuel Oil,152171
1986-10-31,Distillate Fuel Oil,151896
1986-11-07,Distillate Fuel Oil,153723
1986-11-14,Distillate Fuel Oil,154088
1986-11-21,Distillate Fuel Oil,152461
1986-11-28,Distillate Fuel Oil,152632
1986-12-05,Distillate Fuel Oil,154533
1986-12-12,Distillate Fuel Oil,155991
1986-12-19,Distillate Fuel Oil,154341
1986-12-26,Distillate Fuel Oil,155124
1987-01-02,Distillate Fuel Oil,155830
1987-01-09,Distillate Fuel Oil,155298
1987-01-16,Distillate Fuel Oil,151330
1987-01-23,Distillate Fuel Oil,147992
1987-01-30,Distillate Fuel Oil,143598
1987-02-06,Distillate Fuel Oil,138733
1987-02-13,Distillate Fuel Oil,136263
1987-02-20,Distillate Fuel Oil,131798
1987-02-27,Distillate Fuel Oil,128370
1987-03-06,Distillate Fuel Oil,119593
1987-03-13,Distillate Fuel Oil,112039
1987-03-20,Distillate Fuel Oil,108793
1987-03-27,Distillate Fuel Oil,106906
1987-04-03,Distillate Fuel Oil,106854
1987-04-10,Distillate Fuel Oil,105764
1987-04-17,Distillate Fuel Oil,104866
1987-04-24,Distillate Fuel Oil,103623
1987-05-01,Distillate Fuel Oil,99823
1987-05-08,Distillate Fuel Oil,97865
1987-05-15,Distillate Fuel Oil,95243
1987-05-22,Distillate Fuel Oil,95885
1987-05-29,Distillate Fuel Oil,100667
1987-06-05,Distillate Fuel Oil,99287
1987-06-12,Distillate Fuel Oil,99450
1987-06-19,Distillate Fuel Oil,102666
1987-06-26,Distillate Fuel Oil,103561
1987-07-03,Distillate Fuel Oil,104988
1987-07-10,Distillate Fuel Oil,109265
1987-07-17,Distillate Fuel Oil,111275
1987-07-24,Distillate Fuel Oil,113447
1987-07-31,Distillate Fuel Oil,113663
1987-08-07,Distillate Fuel Oil,114395
1987-08-14,Distillate Fuel Oil,119819
1987-08-21,Distillate Fuel Oil,121360
1987-08-28,Distillate Fuel Oil,122472
1987-09-04,Distillate Fuel Oil,122354
1987-09-11,Distillate Fuel Oil,126626
1987-09-18,Distillate Fuel Oil,125585
1987-09-25,Distillate Fuel Oil,128599
1987-10-02,Distillate Fuel Oil,128681
1987-10-09,Distillate Fuel Oil,128017
1987-10-16,Distillate Fuel Oil,124975
1987-10-23,Distillate Fuel Oil,123177
1987-10-30,Distillate Fuel Oil,122894
1987-11-06,Distillate Fuel Oil,120537
1987-11-13,Distillate Fuel Oil,124785
1987-11-20,Distillate Fuel Oil,123920
1987-11-27,Distillate Fuel Oil,122311
1987-12-04,Distillate Fuel Oil,127749
1987-12-11,Distillate Fuel Oil,126770
1987-12-18,Distillate Fuel Oil,127849
1987-12-25,Distillate Fuel Oil,131127
1988-01-01,Distillate Fuel Oil,137169
1988-01-08,Distillate Fuel Oil,135783
1988-01-15,Distillate Fuel Oil,132064
1988-01-22,Distillate Fuel Oil,128517
1988-01-29,Distillate Fuel Oil,126670
1988-02-05,Distillate Fuel Oil,123132
1988-02-12,Distillate Fuel Oil,117145
1988-02-19,Distillate Fuel Oil,113358
1988-02-26,Distillate Fuel Oil,111688
1988-03-04,Distillate Fuel Oil,108209
1988-03-11,Distillate Fuel Oil,102749
1988-03-18,Distillate Fuel Oil,99110
1988-03-25,Distillate Fuel Oil,94866
1988-04-01,Distillate Fuel Oil,91965
1988-04-08,Distillate Fuel Oil,92650
1988-04-15,Distillate Fuel Oil,94967
1988-04-22,Distillate Fuel Oil,93475
1988-04-29,Distillate Fuel Oil,94899
1988-05-06,Distillate Fuel Oil,95317
1988-05-13,Distillate Fuel Oil,97503
1988-05-20,Distillate Fuel Oil,97961
1988-05-27,Distillate Fuel Oil,99817
1988-06-03,Distillate Fuel Oil,103804
1988-06-10,Distillate Fuel Oil,108435
1988-06-17,Distillate Fuel Oil,109966
1988-06-24,Distillate Fuel Oil,110636
1988-07-01,Distillate Fuel Oil,112184
1988-07-08,Distillate Fuel Oil,116214
1988-07-15,Distillate Fuel Oil,117214
1988-07-22,Distillate Fuel Oil,117481
1988-07-29,Distillate Fuel Oil,118668
1988-08-05,Distillate Fuel Oil,119571
1988-08-12,Distillate Fuel Oil,120998
1988-08-19,Distillate Fuel Oil,123661
1988-08-26,Distillate Fuel Oil,122162
1988-09-02,Distillate Fuel Oil,125585
1988-09-09,Distillate Fuel Oil,131772
1988-09-16,Distillate Fuel Oil,133801
1988-09-23,Distillate Fuel Oil,134913
1988-09-30,Distillate Fuel Oil,134735
1988-10-07,Distillate Fuel Oil,134050
1988-10-14,Distillate Fuel Oil,133318
1988-10-21,Distillate Fuel Oil,128848
1988-10-28,Distillate Fuel Oil,130645
1988-11-04,Distillate Fuel Oil,129711
1988-11-11,Distillate Fuel Oil,127212
1988-11-18,Distillate Fuel Oil,128162
1988-11-25,Distillate Fuel Oil,127762
1988-12-02,Distillate Fuel Oil,128880
1988-12-09,Distillate Fuel Oil,127340
1988-12-16,Distillate Fuel Oil,126916
1988-12-23,Distillate Fuel Oil,124749
1988-12-30,Distillate Fuel Oil,125548
1989-01-06,Distillate Fuel Oil,126817
1989-01-13,Distillate Fuel Oil,125053
1989-01-20,Distillate Fuel Oil,120024
1989-01-27,Distillate Fuel Oil,119772
1989-02-03,Distillate Fuel Oil,118010
1989-02-10,Distillate Fuel Oil,116267
1989-02-17,Distillate Fuel Oil,112651
1989-02-24,Distillate Fuel Oil,110541
1989-03-03,Distillate Fuel Oil,108402
1989-03-10,Distillate Fuel Oil,102556
1989-03-17,Distillate Fuel Oil,100216
1989-03-24,Distillate Fuel Oil,96586
1989-03-31,Distillate Fuel Oil,98147
1989-04-07,Distillate Fuel Oil,97887
1989-04-14,Distillate Fuel Oil,99216
1989-04-21,Distillate Fuel Oil,97782
1989-04-28,Distillate Fuel Oil,96738
1989-05-05,Distillate Fuel Oil,95953
1989-05-12,Distillate Fuel Oil,96832
1989-05-19,Distillate Fuel Oil,94553
1989-05-26,Distillate Fuel Oil,94986
1989-06-02,Distillate Fuel Oil,99019
1989-06-09,Distillate Fuel Oil,98669
1989-06-16,Distillate Fuel Oil,97760
1989-06-23,Distillate Fuel Oil,98421
1989-06-30,Distillate Fuel Oil,100092
1989-07-07,Distillate Fuel Oil,104810
1989-07-14,Distillate Fuel Oil,109731
1989-07-21,Distillate Fuel Oil,108828
1989-07-28,Distillate Fuel Oil,113217
1989-08-04,Distillate Fuel Oil,115812
1989-08-11,Distillate Fuel Oil,116476
1989-08-18,Distillate Fuel Oil,118002
1989-08-25,Distillate Fuel Oil,116487
1989-09-01,Distillate Fuel Oil,116231
1989-09-08,Distillate Fuel Oil,118891
1989-09-15,Distillate Fuel Oil,120684
1989-09-22,Distillate Fuel Oil,121919
1989-09-29,Distillate Fuel Oil,122375
1989-10-06,Distillate Fuel Oil,121136
1989-10-13,Distillate Fuel Oil,120163
1989-10-20,Distillate Fuel Oil,119898
1989-10-27,Distillate Fuel Oil,119032
1989-11-03,Distillate Fuel Oil,119158
1989-11-10,Distillate Fuel Oil,122191
1989-11-17,Distillate Fuel Oil,118850
1989-11-24,Distillate Fuel Oil,121163
1989-12-01,Distillate Fuel Oil,121911
1989-12-08,Distillate Fuel Oil,118134
1989-12-15,Distillate Fuel Oil,115782
1989-12-22,Distillate Fuel Oil,111143
1989-12-29,Distillate Fuel Oil,106744
1990-01-05,Crude Oil,1584183
1990-01-05,Distillate Fuel Oil,109207
1990-01-05,Motor Gasoline,210982
1990-01-12,Crude Oil,1593418
1990-01-12,Distillate Fuel Oil,109516
1990-01-12,Motor Gasoline,215395
1990-01-19,Crude Oil,1600074
1990-01-19,Distillate Fuel Oil,114347
1990-01-19,Motor Gasoline,219221
1990-01-26,Crude Oil,1612925
1990-01-26,Distillate Fuel Oil,119922
1990-01-26,Motor Gasoline,229695
1990-02-02,Crude Oil,1631318
1990-02-02,Distillate Fuel Oil,122954
1990-02-02,Motor Gasoline,234249
1990-02-09,Crude Oil,1634182
1990-02-09,Distillate Fuel Oil,122229
1990-02-09,Motor Gasoline,242038
1990-02-16,Crude Oil,1633561
1990-02-16,Distillate Fuel Oil,120413
1990-02-16,Motor Gasoline,243212
1990-02-23,Crude Oil,1613585
1990-02-23,Distillate Fuel Oil,118477
1990-02-23,Motor Gasoline,249028
1990-03-02,Crude Oil,1618022
1990-03-02,Distillate Fuel Oil,115706
1990-03-02,Motor Gasoline,251074
1990-03-09,Crude Oil,1615173
1990-03-09,Distillate Fuel Oil,110772
1990-03-09,Motor Gasoline,247348
1990-03-16,Crude Oil,1607066
1990-03-16,Distillate Fuel Oil,107077
1990-03-16,Motor Gasoline,245224
1990-03-23,Crude Oil,1609588
1990-03-23,Distillate Fuel Oil,103187
1990-03-23,Motor Gasoline,236805
1990-03-30,Crude Oil,1607649
1990-03-30,Distillate Fuel Oil,102203
1990-03-30,Motor Gasoline,230975
1990-04-06,Crude Oil,1608832
1990-04-06,Distillate Fuel Oil,98960
1990-04-06,Motor Gasoline,227448
1990-04-13,Crude Oil,1609726
1990-04-13,Distillate Fuel Oil,98140
1990-04-13,Motor Gasoline,226077
1990-04-20,Crude Oil,1605033
1990-04-20,Distillate Fuel Oil,96385
1990-04-20,Motor Gasoline,224206
1990-04-27,Crude Oil,1617334
1990-04-27,Distillate Fuel Oil,96581
1990-04-27,Motor Gasoline,223250
1990-05-04,Crude Oil,1619033
1990-05-04,Distillate Fuel Oil,96669
1990-05-04,Motor Gasoline,222618
1990-05-11,Crude Oil,1617770
1990-05-11,Distillate Fuel Oil,97054
1990-05-11,Motor Gasoline,217528
1990-05-18,Crude Oil,1632789
1990-05-18,Distillate Fuel Oil,98930
1990-05-18,Motor Gasoline,217047
1990-05-25,Crude Oil,1644838
1990-05-25,Distillate Fuel Oil,100713
1990-05-25,Motor Gasoline,218532
1990-06-01,Crude Oil,1660037
1990-06-01,Distillate Fuel Oil,103054
1990-06-01,Motor Gasoline,222014
1990-06-08,Crude Oil,1662271
1990-06-08,Distillate Fuel Oil,105527
1990-06-08,Motor Gasoline,219308
1990-06-15,Crude Oil,1666058
1990-06-15,Distillate Fuel Oil,108385
1990-06-15,Motor Gasoline,220061
1990-06-22,Crude Oil,1664338
1990-06-22,Distillate Fuel Oil,109580
1990-06-22,Motor Gasoline,218970
1990-06-29,Crude Oil,1665847
1990-06-29,Distillate Fuel Oil,110964
1990-06-29,Motor Gasoline,218597
1990-07-06,Crude Oil,1670828
1990-07-06,Distillate Fuel Oil,113826
1990-07-06,Motor Gasoline,217055
1990-07-13,Crude Oil,1679816
1990-07-13,Distillate Fuel Oil,117826
1990-07-13,Motor Gasoline,218063
1990-07-20,Crude Oil,1681922
1990-07-20,Distillate Fuel Oil,120499
1990-07-20,Motor Gasoline,218705
1990-07-27,Crude Oil,1690438
1990-07-27,Distillate Fuel Oil,122438
1990-07-27,Motor Gasoline,217799
1990-08-03,Crude Oil,1685894
1990-08-03,Distillate Fuel Oil,122138
1990-08-03,Motor Gasoline,220195
1990-08-10,Crude Oil,1673151
1990-08-10,Distillate Fuel Oil,122994
1990-08-10,Motor Gasoline,213725
1990-08-17,Crude Oil,1678001
1990-08-17,Distillate Fuel Oil,124943
1990-08-17,Motor Gasoline,216819
1990-08-24,Crude Oil,1681979
1990-08-24,Distillate Fuel Oil,126340
1990-08-24,Motor Gasoline,211198
1990-08-31,Crude Oil,1683476
1990-08-31,Distillate Fuel Oil,129733
1990-08-31,Motor Gasoline,210922
1990-09-07,Crude Oil,1692830
1990-09-07,Distillate Fuel Oil,134435
1990-09-07,Motor Gasoline,212665
1990-09-14,Crude Oil,1695891
1990-09-14,Distillate Fuel Oil,135971
1990-09-14,Motor Gasoline,219164
1990-09-21,Crude Oil,1697543
1990-09-21,Distillate Fuel Oil,137983
1990-09-21,Motor Gasoline,222160
1990-09-28,Crude Oil,1688085
1990-09-28,Distillate Fuel Oil,136899
1990-09-28,Motor Gasoline,222735
1990-10-05,Crude Oil,1682803
1990-10-05,Distillate Fuel Oil,134007
1990-10-05,Motor Gasoline,225934
1990-10-12,Crude Oil,1674142
1990-10-12,Distillate Fuel Oil,136646
1990-10-12,Motor Gasoline,225997
1990-10-19,Crude Oil,1665728
1990-10-19,Distillate Fuel Oil,136997
1990-10-19,Motor Gasoline,221043
1990-10-26,Crude Oil,1669235
1990-10-26,Distillate Fuel Oil,138549
1990-10-26,Motor Gasoline,222384
1990-11-02,Crude Oil,1669618
1990-11-02,Distillate Fuel Oil,137892
1990-11-02,Motor Gasoline,222223
1990-11-09,Crude Oil,1665680
1990-11-09,Distillate Fuel Oil,136160
1990-11-09,Motor Gasoline,219499
1990-11-16,Crude Oil,1652223
1990-11-16,Distillate Fuel Oil,134642
1990-11-16,Motor Gasoline,217040
1990-11-23,Crude Oil,1651774
1990-11-23,Distillate Fuel Oil,134566
1990-11-23,Motor Gasoline,217639
1990-11-30,Crude Oil,1651885
1990-11-30,Distillate Fuel Oil,134440
1990-11-30,Motor Gasoline,218889
1990-12-07,Crude Oil,1639065
1990-12-07,Distillate Fuel Oil,133203
1990-12-07,Motor Gasoline,220010
1990-12-14,Crude Oil,1636839
1990-12-14,Distillate Fuel Oil,132331
1990-12-14,Motor Gasoline,224219
1990-12-21,Crude Oil,1625363
1990-12-21,Distillate Fuel Oil,129581
1990-12-21,Motor Gasoline,222043
1990-12-28,Crude Oil,1613868
1990-12-28,Distillate Fuel Oil,129846
1990-12-28,Motor Gasoline,221695
1991-01-04,Crude Oil,1600143
1991-01-04,Distillate Fuel Oil,129423
1991-01-04,Motor Gasoline,221194
1991-01-11,Crude Oil,1592425
1991-01-11,Distillate Fuel Oil,126956
1991-01-11,Motor Gasoline,217923
1991-01-18,Crude Oil,1582958
1991-01-18,Distillate Fuel Oil,117980
1991-01-18,Motor Gasoline,216098
1991-01-25,Crude Oil,1581014
1991-01-25,Distillate Fuel Oil,115089
1991-01-25,Motor Gasoline,219581
1991-02-01,Crude Oil,1577781
1991-02-01,Distillate Fuel Oil,110890
1991-02-01,Motor Gasoline,222223
1991-02-08,Crude Oil,1576130
1991-02-08,Distillate Fuel Oil,108705
1991-02-08,Motor Gasoline,224079
1991-02-15,Crude Oil,1579604
1991-02-15,Distillate Fuel Oil,105147
1991-02-15,Motor Gasoline,226459
1991-02-22,Crude Oil,1580314
1991-02-22,Distillate Fuel Oil,104337
1991-02-22,Motor Gasoline,226026
1991-03-01,Crude Oil,1569230
1991-03-01,Distillate Fuel Oil,102276
1991-03-01,Motor Gasoline,221438
1991-03-08,Crude Oil,1559856
1991-03-08,Distillate Fuel Oil,101071
1991-03-08,Motor Gasoline,218986
1991-03-15,Crude Oil,1554130
1991-03-15,Distillate Fuel Oil,96815
1991-03-15,Motor Gasoline,215670
1991-03-22,Crude Oil,1547210
1991-03-22,Distillate Fuel Oil,97420
1991-03-22,Motor Gasoline,211379
1991-03-29,Crude Oil,1538537
1991-03-29,Distillate Fuel Oil,97028
1991-03-29,Motor Gasoline,212087
1991-04-05,Crude Oil,1531290
1991-04-05,Distillate Fuel Oil,96007
1991-04-05,Motor Gasoline,207908
1991-04-12,Crude Oil,1535925
1991-04-12,Distillate Fuel Oil,96949
1991-04-12,Motor Gasoline,205510
1991-04-19,Crude Oil,1538008
1991-04-19,Distillate Fuel Oil,98364
1991-04-19,Motor Gasoline,205046
1991-04-26,Crude Oil,1549461
1991-04-26,Distillate Fuel Oil,100598
1991-04-26,Motor Gasoline,205660
1991-05-03,Crude Oil,1551662
1991-05-03,Distillate Fuel Oil,101538
1991-05-03,Motor Gasoline,207496
1991-05-10,Crude Oil,1560181
1991-05-10,Distillate Fuel Oil,103025
1991-05-10,Motor Gasoline,208673
1991-05-17,Crude Oil,1569061
1991-05-17,Distillate Fuel Oil,102361
1991-05-17,Motor Gasoline,211690
1991-05-24,Crude Oil,1580432
1991-05-24,Distillate Fuel Oil,102974
1991-05-24,Motor Gasoline,213387
1991-05-31,Crude Oil,1598720
1991-05-31,Distillate Fuel Oil,108200
1991-05-31,Motor Gasoline,215678
1991-06-07,Crude Oil,1603789
1991-06-07,Distillate Fuel Oil,108069
1991-06-07,Motor Gasoline,217713
1991-06-14,Crude Oil,1611613
1991-06-14,Distillate Fuel Oil,111170
1991-06-14,Motor Gasoline,220528
1991-06-21,Crude Oil,1612279
1991-06-21,Distillate Fuel Oil,113705
1991-06-21,Motor Gasoline,219835
1991-06-28,Crude Oil,1611118
1991-06-28,Distillate Fuel Oil,113216
1991-06-28,Motor Gasoline,218757
1991-07-05,Crude Oil,1610398
1991-07-05,Distillate Fuel Oil,113605
1991-07-05,Motor Gasoline,215024
1991-07-12,Crude Oil,1616524
1991-07-12,Distillate Fuel Oil,120095
1991-07-12,Motor Gasoline,213411
1991-07-19,Crude Oil,1618702
1991-07-19,Distillate Fuel Oil,120306
1991-07-19,Motor Gasoline,213887
1991-07-26,Crude Oil,1621247
1991-07-26,Distillate Fuel Oil,122550
1991-07-26,Motor Gasoline,212122
1991-08-02,Crude Oil,1624469
1991-08-02,Distillate Fuel Oil,125040
1991-08-02,Motor Gasoline,210814
1991-08-09,Crude Oil,1625205
1991-08-09,Distillate Fuel Oil,126356
1991-08-09,Motor Gasoline,208356
1991-08-16,Crude Oil,1625207
1991-08-16,Distillate Fuel Oil,126038
1991-08-16,Motor Gasoline,207689
1991-08-23,Crude Oil,1638247
1991-08-23,Distillate Fuel Oil,127749
1991-08-23,Motor Gasoline,210098
1991-08-30,Crude Oil,1644913
1991-08-30,Distillate Fuel Oil,129670
1991-08-30,Motor Gasoline,211068
1991-09-06,Crude Oil,1641745
1991-09-06,Distillate Fuel Oil,132645
1991-09-06,Motor Gasoline,214680
1991-09-13,Crude Oil,1641280
1991-09-13,Distillate Fuel Oil,135574
1991-09-13,Motor Gasoline,215242
1991-09-20,Crude Oil,1647783
1991-09-20,Distillate Fuel Oil,139631
1991-09-20,Motor Gasoline,214984
1991-09-27,Crude Oil,1648461
1991-09-27,Distillate Fuel Oil,140645
1991-09-27,Motor Gasoline,215217
1991-10-04,Crude Oil,1645694
1991-10-04,Distillate Fuel Oil,138759
1991-10-04,Motor Gasoline,217173
1991-10-11,Crude Oil,1646421
1991-10-11,Distillate Fuel Oil,139319
1991-10-11,Motor Gasoline,213971
1991-10-18,Crude Oil,1634960
1991-10-18,Distillate Fuel Oil,137650
1991-10-18,Motor Gasoline,209834
1991-10-25,Crude Oil,1633701
1991-10-25,Distillate Fuel Oil,137730
1991-10-25,Motor Gasoline,205774
1991-11-01,Crude Oil,1625719
